data,dia_setmana,servei,zona,disponibles,estat
2025-11-11,Tuesday,AMO2,I,1,Cobert
2025-11-11,Tuesday,ASA1,G,6,Cobert
2025-11-11,Tuesday,ASA2,G,6,Cobert
2025-11-12,Wednesday,ACR1,G,5,Cobert
2025-11-12,Wednesday,ACR2,G,5,Cobert
2025-11-12,Wednesday,AIG1,H,3,Cobert
2025-11-12,Wednesday,AIG2,H,3,Cobert
2025-11-12,Wednesday,AML1,G,5,Cobert
2025-11-12,Wednesday,AML2,G,5,Cobert
2025-11-12,Wednesday,AMO1,I,2,Cobert
2025-11-12,Wednesday,AMO2,I,2,Cobert
2025-11-12,Wednesday,ASA1,G,5,Cobert
2025-11-12,Wednesday,ASA2,G,5,Cobert
2025-11-13,Thursday,ACR1,G,5,Cobert
2025-11-13,Thursday,ACR2,G,5,Cobert
2025-11-13,Thursday,AIG1,H,4,Cobert
2025-11-13,Thursday,AIG2,H,4,Cobert
2025-11-13,Thursday,AML1,G,5,Cobert
2025-11-13,Thursday,AML2,G,5,Cobert
2025-11-13,Thursday,AMO1,I,2,Cobert
2025-11-13,Thursday,AMO2,I,2,Cobert
2025-11-13,Thursday,ASA1,G,5,Cobert
2025-11-13,Thursday,ASA2,G,5,Cobert
2025-11-14,Friday,ACR1,G,5,Cobert
2025-11-14,Friday,ACR2,G,5,Cobert
2025-11-14,Friday,AIG1,H,4,Cobert
2025-11-14,Friday,AIG2,H,4,Cobert
2025-11-14,Friday,AML1,G,5,Cobert
2025-11-14,Friday,AML2,G,5,Cobert
2025-11-14,Friday,AMO1,I,2,Cobert
2025-11-14,Friday,AMO2,I,2,Cobert
2025-11-14,Friday,ASA1,G,5,Cobert
2025-11-14,Friday,ASA2,G,5,Cobert
2025-11-15,Saturday,ACR1,G,5,Cobert
2025-11-15,Saturday,ACR2,G,5,Cobert
2025-11-15,Saturday,AIG1,H,4,Cobert
2025-11-15,Saturday,AIG2,H,4,Cobert
2025-11-15,Saturday,AML1,G,5,Cobert
2025-11-15,Saturday,AML2,G,5,Cobert
2025-11-15,Saturday,AMO1,I,0,Descobert
2025-11-15,Saturday,AMO2,I,0,Descobert
2025-11-15,Saturday,ASA1,G,5,Cobert
2025-11-15,Saturday,ASA2,G,5,Cobert
2025-11-16,Sunday,ACR1,G,5,Cobert
2025-11-16,Sunday,ACR2,G,5,Cobert
2025-11-16,Sunday,AIG1,H,4,Cobert
2025-11-16,Sunday,AIG2,H,4,Cobert
2025-11-16,Sunday,AML1,G,5,Cobert
2025-11-16,Sunday,AML2,G,5,Cobert
2025-11-16,Sunday,AMO1,I,1,Cobert
2025-11-16,Sunday,AMO2,I,1,Cobert
2025-11-16,Sunday,ASA1,G,5,Cobert
2025-11-16,Sunday,ASA2,G,5,Cobert
2025-11-17,Monday,ACR1,G,5,Cobert
2025-11-17,Monday,ACR2,G,5,Cobert
2025-11-17,Monday,AIG1,H,3,Cobert
2025-11-17,Monday,AIG2,H,3,Cobert
2025-11-17,Monday,AML1,G,5,Cobert
2025-11-17,Monday,AML2,G,5,Cobert
2025-11-17,Monday,AMO1,I,2,Cobert
2025-11-17,Monday,AMO2,I,2,Cobert
2025-11-17,Monday,ASA1,G,5,Cobert
2025-11-17,Monday,ASA2,G,5,Cobert
2025-11-18,Tuesday,ACR1,G,5,Cobert
2025-11-18,Tuesday,ACR2,G,5,Cobert
2025-11-18,Tuesday,AIG1,H,4,Cobert
2025-11-18,Tuesday,AIG2,H,4,Cobert
2025-11-18,Tuesday,AML1,G,5,Cobert
2025-11-18,Tuesday,AML2,G,5,Cobert
2025-11-18,Tuesday,AMO1,I,2,Cobert
2025-11-18,Tuesday,AMO2,I,2,Cobert
2025-11-18,Tuesday,ASA1,G,5,Cobert
2025-11-18,Tuesday,ASA2,G,5,Cobert
2025-11-19,Wednesday,ACR1,G,6,Cobert
2025-11-19,Wednesday,ACR2,G,6,Cobert
2025-11-19,Wednesday,AIG1,H,4,Cobert
2025-11-19,Wednesday,AIG2,H,4,Cobert
2025-11-19,Wednesday,AML1,G,6,Cobert
2025-11-19,Wednesday,AML2,G,6,Cobert
2025-11-19,Wednesday,AMO1,I,1,Cobert
2025-11-19,Wednesday,AMO2,I,1,Cobert
2025-11-19,Wednesday,ASA1,G,6,Cobert
2025-11-19,Wednesday,ASA2,G,6,Cobert
2025-11-20,Thursday,ACR1,G,5,Cobert
2025-11-20,Thursday,ACR2,G,5,Cobert
2025-11-20,Thursday,AIG1,H,4,Cobert
2025-11-20,Thursday,AIG2,H,4,Cobert
2025-11-20,Thursday,AML1,G,5,Cobert
2025-11-20,Thursday,AML2,G,5,Cobert
2025-11-20,Thursday,AMO1,I,1,Cobert
2025-11-20,Thursday,AMO2,I,1,Cobert
2025-11-20,Thursday,ASA1,G,5,Cobert
2025-11-20,Thursday,ASA2,G,5,Cobert
2025-11-21,Friday,ACR1,G,5,Cobert
2025-11-21,Friday,ACR2,G,5,Cobert
2025-11-21,Friday,AIG1,H,4,Cobert
2025-11-21,Friday,AIG2,H,4,Cobert
2025-11-21,Friday,AML1,G,5,Cobert
2025-11-21,Friday,AML2,G,5,Cobert
2025-11-21,Friday,AMO1,I,1,Cobert
2025-11-21,Friday,AMO2,I,1,Cobert
2025-11-21,Friday,ASA1,G,5,Cobert
2025-11-21,Friday,ASA2,G,5,Cobert
2025-11-22,Saturday,ACR1,G,3,Cobert
2025-11-22,Saturday,ACR2,G,3,Cobert
2025-11-22,Saturday,AIG1,H,2,Cobert
2025-11-22,Saturday,AIG2,H,2,Cobert
2025-11-22,Saturday,AML1,G,3,Cobert
2025-11-22,Saturday,AML2,G,3,Cobert
2025-11-22,Saturday,AMO1,I,2,Cobert
2025-11-22,Saturday,AMO2,I,2,Cobert
2025-11-22,Saturday,ASA1,G,3,Cobert
2025-11-22,Saturday,ASA2,G,3,Cobert
2025-11-23,Sunday,ACR1,G,3,Cobert
2025-11-23,Sunday,ACR2,G,3,Cobert
2025-11-23,Sunday,AIG1,H,2,Cobert
2025-11-23,Sunday,AIG2,H,2,Cobert
2025-11-23,Sunday,AML1,G,3,Cobert
2025-11-23,Sunday,AML2,G,3,Cobert
2025-11-23,Sunday,AMO1,I,2,Cobert
2025-11-23,Sunday,AMO2,I,2,Cobert
2025-11-23,Sunday,ASA1,G,3,Cobert
2025-11-23,Sunday,ASA2,G,3,Cobert
2025-11-24,Monday,ACR1,G,6,Cobert
2025-11-24,Monday,ACR2,G,6,Cobert
2025-11-24,Monday,AIG1,H,4,Cobert
2025-11-24,Monday,AIG2,H,4,Cobert
2025-11-24,Monday,AML1,G,6,Cobert
2025-11-24,Monday,AML2,G,6,Cobert
2025-11-24,Monday,AMO1,I,1,Cobert
2025-11-24,Monday,AMO2,I,1,Cobert
2025-11-24,Monday,ASA1,G,6,Cobert
2025-11-24,Monday,ASA2,G,6,Cobert
2025-11-25,Tuesday,ACR1,G,5,Cobert
2025-11-25,Tuesday,ACR2,G,5,Cobert
2025-11-25,Tuesday,AIG1,H,4,Cobert
2025-11-25,Tuesday,AIG2,H,4,Cobert
